"zcta","tot_pop","white","black","alaskan_native","asian","pacific_islan","other","mixed_race"
"38118",40156,3788,31091,17,619,0,3147,2988
"38119",24818,11756,9987,0,748,0,1595,1464
"38120",15485,12597,974,31,1222,0,195,932
"38122",23955,13603,4197,0,680,29,4020,2852
"38125",39315,5198,29827,0,1957,138,1539,1312
"38126",5844,229,5536,0,22,0,13,88
"38127",43240,4211,36952,51,213,3,906,1808
"38128",46158,5111,38255,112,383,0,1269,2056
"38131",0,0,0,0,0,0,0,0
"38132",0,0,0,0,0,0,0,0
"38133",22155,14618,5638,29,707,0,398,1530
"38134",45184,21061,20295,327,1079,0,1066,2712
"38135",29719,18254,9949,11,607,0,188,1420
"38138",24143,21621,750,12,1336,0,96,656
"38139",15986,14294,182,17,1233,0,42,436
"38141",23443,2263,20001,0,0,0,898,562
"38152",870,474,359,2,3,0,5,54
"38201",10755,9349,1068,10,13,0,153,324
"38220",1565,1243,208,0,0,0,12,204
"38221",3289,3281,4,0,0,0,0,8
"38222",2109,1989,7,0,0,0,6,214
"38224",791,757,31,1,0,0,0,4
"38225",5398,5057,218,21,0,0,89,26
"38226",288,286,0,0,0,0,0,4
"38229",3121,2903,65,13,4,0,4,264
"38230",3704,3465,129,10,36,0,30,68
"38231",1610,1455,64,0,2,0,78,22
"38232",2173,2110,0,13,14,0,8,56
"38233",2880,2418,240,8,1,0,0,426
"38235",511,318,152,36,0,0,0,10
"38236",512,478,28,0,0,0,0,12
"38237",15281,12632,2056,66,40,23,163,602
"38240",2236,2002,61,14,4,0,88,134
"38241",1099,1095,0,0,0,0,0,8
"38242",20274,17098,2370,88,41,0,85,1184
"38251",3225,2990,113,3,15,0,84,40
"38253",1180,968,27,0,0,0,44,282
"38254",70,47,4,0,0,0,0,38
"38255",2478,2240,155,0,11,0,0,144
"38256",3316,3210,26,11,21,0,0,96
"38257",4310,3829,316,29,43,0,19,148
"38258",1430,1113,277,2,0,0,20,36
"38259",815,796,13,0,0,0,3,6
"38260",3652,3568,40,13,14,0,0,34
"38261",15511,11875,2919,3,56,5,289,728
"38301",34534,14694,18414,51,72,0,500,1606
"38305",52092,32611,15975,33,942,1,1146,2768
"38310",6135,5786,193,0,7,0,21,256
"38311",907,825,76,0,0,0,0,12
"38313",3533,3382,114,0,0,0,20,34
"38315",4044,3755,165,31,0,0,5,176
"38316",3031,2825,102,0,0,3,2,198
"38317",2556,2199,253,0,4,0,10,180
"38318",398,270,128,0,0,0,0,0
"38320",10593,10289,106,19,26,0,0,306
"38321",2330,2147,183,0,0,0,0,0
"38326",2804,2742,48,0,0,0,0,28
"38327",427,427,0,0,0,0,0,0
"38328",913,913,0,0,0,0,0,0
"38329",3255,3005,157,0,0,0,22,142
"38330",4338,3329,610,70,4,9,0,632
"38332",1203,1194,0,0,0,0,2,14
"38333",162,162,0,0,0,0,0,0
"38334",2052,1859,69,0,0,0,33,182
"38337",1556,1318,168,14,1,0,6,98
"38339",674,449,211,0,0,0,7,14
"38340",12379,10083,1645,7,86,0,296,524
"38341",2302,2222,36,0,0,0,19,50
"38342",1387,1259,57,2,6,0,0,126
"38343",15438,10810,4202,48,32,0,158,376
"38344",7868,6917,649,0,0,22,2,556
"38345",1723,1723,0,0,0,0,0,0
"38347",157,157,0,0,0,0,0,0
"38348",887,789,74,12,0,0,0,24
"38351",18050,15698,1932,0,33,14,0,746
"38352",562,531,31,0,0,0,0,0
"38355",7041,6175,498,25,97,0,51,390
"38356",2736,2266,310,28,0,0,0,264
"38357",2813,2744,14,0,0,0,51,8
"38358",11619,9250,1614,8,62,9,72,1208
"38359",298,275,21,0,2,0,0,0
"38361",1001,948,30,0,5,0,0,36
"38362",1167,739,240,0,0,0,64,248
"38363",5326,4884,178,53,0,0,92,238
"38365",0,0,0,0,0,0,0,0
"38366",1877,1772,88,0,1,0,12,8
"38367",2730,2541,159,0,0,0,0,60
"38368",2154,2115,0,0,0,0,39,0
"38369",1466,1321,71,8,0,0,0,132
"38370",772,682,90,0,0,0,0,0
"38371",951,921,0,0,0,0,0,60
"38372",17192,15994,679,75,109,0,30,610
"38374",2373,2336,3,0,0,0,11,46
"38375",8088,7108,724,24,54,0,20,316
"38376",133,133,0,0,0,0,0,0
"38379",1459,1379,74,0,4,0,0,4
"38380",505,481,0,0,0,0,0,48
"38381",1416,1040,355,0,0,0,0,42
"38382",8559,6389,1436,36,25,0,36,1274
"38387",209,199,0,0,0,0,0,20
"38388",1956,1791,158,0,2,0,0,10
"38390",1195,934,210,7,10,0,0,68
"38391",1088,337,705,0,0,0,0,92
"38392",709,571,138,0,0,0,0,0
"38401",64822,52857,7992,107,280,17,407,6324
"38425",3803,2866,718,12,0,24,17,332
"38449",2713,2446,145,24,24,0,0,148
"38450",3130,3061,7,0,9,0,53,0
"38451",4107,3731,109,0,0,0,0,534
"38452",945,901,44,0,0,0,0,0
"38453",373,373,0,0,0,0,0,0
"38454",1128,1098,30,0,0,0,0,0
"38455",193,97,76,0,0,0,0,40
"38456",4997,4898,0,46,0,0,0,106
"38457",780,780,0,0,0,0,0,0
"38459",296,253,0,0,0,0,0,86
"38460",1713,1635,64,0,0,0,0,28
"38461",1240,1174,33,0,0,0,0,66
"38462",10204,9636,76,0,239,0,65,376
"38463",2205,2149,17,0,0,0,0,78
"38464",22412,20833,633,75,167,56,178,940
"38468",5738,5525,107,0,1,0,0,210
"38469",4291,4192,29,0,0,0,0,140
"38471",403,403,0,0,0,0,0,0
"38472",2708,2651,11,5,12,0,3,52
"38473",1074,946,27,0,4,0,0,194
"38474",8518,7209,1144,0,9,0,7,298
"38475",805,805,0,0,0,0,0,0
"38476",1352,1345,0,0,0,0,0,14
"38477",2914,2793,83,1,0,0,0,74
"38478",17618,14071,2626,48,4,0,304,1130
"38481",1062,1032,0,0,12,0,0,36
"38482",1701,1634,0,0,9,0,0,116
"38483",5933,5664,53,0,0,0,81,270
"38485",6384,5967,204,4,54,0,22,266
"38486",1000,986,0,0,0,0,0,28
"38487",978,762,131,0,63,0,0,44
"38488",2228,2137,0,0,38,0,42,22
"38501",39013,35146,1565,121,690,0,454,2074
"38504",670,670,0,0,0,0,0,0
"38505",2028,1847,113,12,42,0,0,28
"38506",28818,27547,146,60,227,136,65,1274
"38541",1810,1795,0,0,0,3,0,24
"38542",16,16,0,0,0,0,0,0
"38543",339,339,0,0,0,0,0,0
"38544",7450,7032,50,14,23,0,7,648
"38545",1625,1515,3,0,0,0,106,2
"38547",1992,1967,0,0,0,0,0,50
"38548",1149,1122,6,15,6,0,0,0
"38549",4040,3941,11,0,0,0,0,176
"38551",4213,3892,250,0,34,0,3,68
"38552",253,224,0,0,0,0,13,32
"38553",2827,2677,0,37,0,0,0,226
"38554",842,787,0,0,0,0,8,94
"38555",20371,19396,389,155,34,0,73,648
"38556",11592,11223,46,0,34,0,50,478
"38558",9572,9190,0,0,100,0,94,376
"38559",1302,1245,0,27,0,0,0,60
"38560",1491,1385,0,0,57,0,0,98
"38562",6552,6380,41,31,8,0,43,98
"38563",2989,2785,106,0,11,0,51,72
"38564",477,412,0,0,0,0,0,130
"38565",1023,1023,0,0,0,0,0,0
"38567",723,597,0,0,0,0,0,252
"38568",1807,1784,0,0,0,0,0,46
