"store_name","store_id","review_count","ratings","categories","food_desert"
"Main Street Market","qraM4nc6GzyaT2_HXXBA3A",1,5,"grocery",1
"Dollar General","djLtBgjwYB3IM89LqrJlxQ",2,3,"discountstore,grocery",1
"Weis Markets","P72lFG6np5idIzCbz1-SpQ",11,2,"grocery,drugstores,pharmacy",1
"Ruggiero's Market","P1uowDzDpJTcr7dfc0niSA",1,5,"grocery",1
"Giant Food Store","Gm_f81m4KMJAN-ME7WqTLQ",10,2.5,"grocery",1
"Price Chopper","ESJwvwMGxO7pfUs1EQIpBw",52,4,"grocery",1
"Hen House Supermarkets","ZkHqmjdEtE5GDKicO3jgbA",43,4,"grocery,drugstores",1
"Cosentino's Brookside Market","cM8NKYDlj86yTDxYBjVV_w",55,4,"grocery",1
"Trader Joe's","yT03divuCsr0ZNvMnX2kLw",190,4.5,"grocery",1
"Olive Cafe","IsOep-yOvlMHScTpIq9KRQ",164,4.5,"mideastern,grocery",1
"Walmart Supercenter","o9CEQSKnam_M1kZ2yCyfVA",6,2,"grocery,deptstores",1
"Bing’s county market","AB_tdiZMyHYzSb4CgkXBTQ",2,4,"grocery",1
"Double Quick","Ks3P0DFJTQyxZX2vVudv9w",1,4,"grocery",1
"Cindy's Food Market","7THWriovLcr1qIeFIYGxVQ",1,5,"grocery",1
"Southside Grocery","HLyXwBT4FhVlA7-4eUbFUw",1,5,"grocery",1
"Bombay Foods","XlzwTVS_lltCXln8Q6Qh2A",4,5,"grocery",1
"Yener Turkish Food Store","mIaSevc2UnAyMuOFVTVUpA",2,4.5,"propertymgmt,grocery",1
"ShopRite of Route 37","4QeHrmjinWr48QBYkO7lJQ",48,2,"grocery,bakeries,delis",1
"Los Aztecas Mexican Restaurant","3Bl-owmrkPU5_-5mIuke-Q",29,4,"grocery,mexican",1
"Wallach's Farm Market & Deli","2G5ysTMC13lNhnCgEA7muw",21,3.5,"farmersmarket,delis,grocery",1
"El-Sayed Meat Market","1Iw5hRlwjzVsK-_ziefByQ",28,4.5,"butcher,grocery,meats",1
"La Favorita","zNFKvxlGtHU52F8_zB9BdA",22,4.5,"mexican,grocery",1
"Los Arcos Market","t8VpXuZOibw0fPX_9U6r2A",58,4,"grocery,mexican",1
"Alcamo's Market","_pHpCqKj0QHxni1eoKeuEg",141,4.5,"gourmet,grocery,delis",1
"Westborn Market","41I0aCA60g6-CYadZZ7MyA",97,4,"grocery",1
"Berkot's Super Foods- Kankakee","pXwcHXWX3rUOZ2rcLvqITw",2,4.5,"bakeries,grocery,delis",1
"Jewel-Osco","yOA5O-pKwrErHo--IK6a2A",13,3.5,"grocery",1
"Bud's Groceries","A4K0Ri6ZIoctSfuH5jk0fA",1,5,"grocery,desserts,sandwiches",1
"Dollar General","E2DXEKnUjmFZGcJ50hE5qw",1,5,"discountstore,grocery",1
"Kroger","llknXKLzCbuuw8EqY2Qv3g",20,3.5,"grocery",1
"Big Y World Class Market","OVGg0sHgz9g1d6Y1e6s6bQ",22,3,"grocery",1
"LaBonne’s Market","mdziXGIvlgDqfE06Pld3UA",16,4,"markets,bakeries,grocery",1
"BJ's Wholesale Club","TDfi124Unc9m4R07xP4i8Q",27,3,"grocery,wholesale_stores",1
"Wayside Market","oCJv5k2SQRQEQR0ibfh-RQ",8,5,"grocery",1
"LaBonne's Market","vOpcsbgTjnyMFulNQzIyoQ",22,4.5,"grocery",1
