"","Year","LocationName","Geolocation","TotalPopulation","OBESITY","DEPRESSION","CANCER","CHOLSCREEN","CHD"
"171",2019,1730,"POINT (-71.27834511 42.4969403)",13221,21.1,17.5,8.9,94.6,5.6
"172",2019,1585,"POINT (-72.137932 42.24286832)",4554,31.5,21.5,9,92,6.9
"173",2019,2021,"POINT (-71.12650777 42.17519337)",21561,21.9,18.4,8.2,92.9,5.2
"174",2019,2071,"POINT (-71.269603 42.10337828)",1707,24.7,16.7,4.4,88.6,3.3
"175",2019,1009,"POINT (-72.33968366 42.20953238)",741,27.4,23.9,7.2,89.8,5.9
"176",2019,1462,"POINT (-71.71992101 42.58967349)",10086,31,21.2,8,92.2,5.7
"177",2019,1718,"POINT (-71.430609 42.5188055)",469,21.3,17.5,7,93.8,4.6
"178",2019,2653,"POINT (-69.97874679 41.77432576)",5911,22.7,17.7,12.4,95.4,8.7
"179",2019,1468,"POINT (-72.06893957 42.55207472)",4021,32.5,22.8,7.4,90.8,5.6
"180",2019,2826,"POINT (-71.637922 41.95781024)",791,30.1,23.7,7.2,92,5.4
"181",2019,2536,"POINT (-70.56969269 41.59937189)",19583,25.3,20.8,9.1,92.3,6.9
"182",2019,1464,"POINT (-71.64834845 42.57340133)",7211,26.2,20,6.2,90,4.8
"183",2019,1259,"POINT (-73.2382895 42.06952458)",635,25,19.6,9.4,93.9,6.8
"184",2019,1583,"POINT (-71.78498011 42.37023461)",7591,31.5,20.1,8,91.3,6.3
"185",2019,1542,"POINT (-71.91077152 42.20183695)",2202,30.8,21.8,7.7,90.8,5.5
"186",2019,2150,"POINT (-71.03255338 42.39649472)",35124,27.2,19.4,4.8,84.8,5.3
"187",2019,2905,"POINT (-71.4017881 41.78658937)",25223,33.9,21.9,5.3,88.1,5.4
"188",2019,1519,"POINT (-71.68006519 42.2010819)",6595,29.4,20.5,7,92.4,4.5
"189",2019,1086,"POINT (-72.79396716 42.13044618)",687,13.9,27,0.8,75.8,0.5
"190",2019,2026,"POINT (-71.17775885 42.24669352)",24711,22.5,18.6,8.3,92.5,5.6
"191",2019,1266,"POINT (-73.40866675 42.29013716)",1463,24.5,19.2,9.8,94.5,7.2
"192",2019,2666,"POINT (-70.04563571 41.98946726)",828,24.8,19.9,10.4,94.3,7.9
"193",2019,2896,"POINT (-71.55120341 41.972638)",11537,29.1,21.9,9.1,93.6,6.7
"194",2019,2163,"POINT (-71.12091089 42.36632855)",2582,16.9,22.2,1.1,74.3,0.9
"195",2019,1754,"POINT (-71.45609497 42.42637676)",10106,23.5,20.4,7.5,92.8,4.7
"196",2019,2907,"POINT (-71.42551756 41.79830258)",27445,38.1,20.5,4.3,86.8,5.7
"197",2019,1844,"POINT (-71.2202895 42.72262296)",47249,26.3,19.8,7.2,90,5.9
"198",2019,2920,"POINT (-71.46598567 41.76741327)",37547,29.9,20.8,8,91.5,6.5
"199",2019,2557,"POINT (-70.58578446 41.43050221)",4491,27.5,20.8,8.3,92.1,6.3
"200",2019,1505,"POINT (-71.72123923 42.35630822)",4355,29,19.8,8.1,93.6,5.1
"201",2019,1338,"POINT (-72.82134705 42.57358343)",187,29.3,22.1,9.1,93.5,7
"202",2019,1473,"POINT (-71.90264964 42.55122841)",7277,30.6,21.2,7.6,92,5.3
"203",2019,2142,"POINT (-71.08202998 42.36186605)",3141,18.8,17.3,3.6,86.1,2.3
"204",2019,1420,"POINT (-71.81662273 42.58578707)",40337,32.9,21.9,6.6,87.3,6
"205",2019,2145,"POINT (-71.09007936 42.3916781)",25439,24.6,20,5.1,87.9,4.2
"206",2019,1007,"POINT (-72.40031647 42.27869142)",14649,24.4,21.9,7.1,92,4.8
"207",2019,1430,"POINT (-71.92369603 42.66020259)",6089,29.8,21,7.1,91.9,4.7
"208",2019,1879,"POINT (-71.42873511 42.66631165)",11305,23.8,20.8,6.8,92,4.5
"209",2019,1945,"POINT (-70.86383465 42.49902619)",19808,23.4,18.1,8.8,94.6,5.6
"210",2019,2673,"POINT (-70.24539843 41.660001)",8402,25,20.7,9.1,91.6,6.9
"211",2019,1940,"POINT (-71.03750651 42.53451942)",12108,23.2,18.2,8.8,93.7,5.9
"212",2019,3038,"POINT (-71.27959284 42.88895765)",33269,29.7,21,6.2,89.4,4.7
"213",2019,2874,"POINT (-71.46972802 41.50736045)",5860,25.3,20.8,7.5,93.6,4.8
"214",2019,2575,"POINT (-70.65454301 41.40002647)",2725,25.8,20.5,8.2,93.7,5.4
"215",2019,1907,"POINT (-70.90673549 42.47594655)",14027,23.1,18.2,8.9,93.8,5.8
"216",2019,1028,"POINT (-72.499013 42.05963362)",15720,24.9,21.4,9.2,92.9,6.5
"217",2019,2474,"POINT (-71.146814 42.41207599)",26312,21.5,18.6,7.6,93.2,4.5
"218",2019,1832,"POINT (-71.13130712 42.79102819)",22060,27.6,20.7,6.5,88.8,5.7
"219",2019,1460,"POINT (-71.48913087 42.53501888)",8924,23.3,19.8,8.1,93.7,5.2
"220",2019,2120,"POINT (-71.1034205 42.32996053)",15181,22.2,21.6,3,78.2,3.5
"221",2019,1982,"POINT (-70.85796943 42.62669387)",7764,23.7,18.6,7.5,92.6,5.2
"222",2019,1908,"POINT (-70.93053307 42.42425881)",3410,23.9,18.3,9.4,94.2,6.5
"223",2019,2171,"POINT (-71.02878899 42.28112245)",17711,19.9,17.1,6.5,89.8,4.9
"224",2019,2644,"POINT (-70.51012395 41.68435419)",3955,26.1,22.2,6.7,90.8,4.9
"225",2019,2715,"POINT (-71.15059087 41.81753193)",3123,30,22.4,7.3,91.4,5
"226",2019,2740,"POINT (-70.94139865 41.63822881)",43087,34.6,24,7.6,87.5,7.8
"227",2019,1436,"POINT (-72.0879965 42.60869071)",3336,31.4,21.6,8.5,91.1,6.7
"228",2019,1237,"POINT (-73.26261203 42.5497258)",2496,24.9,20.1,8.3,92.8,6
"229",2019,1745,"POINT (-71.501235 42.28938014)",397,26.9,18.3,8.1,93.4,4.9
"230",2019,2119,"POINT (-71.08502089 42.32402563)",25346,32.9,19,5.3,87.8,6.9
"231",2019,2840,"POINT (-71.32447052 41.46762612)",23335,28.5,22.3,7.3,90.4,5.3
"232",2019,1603,"POINT (-71.843934 42.24026086)",19916,34.6,20.9,6,87.1,6.3
"233",2019,2744,"POINT (-70.91311634 41.60811564)",11900,35.3,24.9,6.7,85.1,7.1
"234",2019,1876,"POINT (-71.22745829 42.61221511)",28667,24.2,20.9,7.9,92.3,5.5
"235",2019,1108,"POINT (-72.55985283 42.08054142)",26688,32.7,22.6,5.5,85.8,6.3
"236",2019,1867,"POINT (-71.10552547 42.53502452)",23956,22.1,19.3,8.2,93.7,4.9
"237",2019,2141,"POINT (-71.08270126 42.37000637)",11910,21.5,18.7,5.1,88.8,3.6
"238",2019,1516,"POINT (-71.75085338 42.05280641)",8500,30.5,21.5,6.6,91.7,4.3
"239",2019,1355,"POINT (-72.33042964 42.45289622)",878,27.7,21.8,8,93.5,5.4
"240",2019,1524,"POINT (-71.91984208 42.2492068)",6696,30.5,22,7.5,90.4,5.5
"241",2019,2875,"POINT (-71.63807908 41.45556014)",307,26.8,22.4,6.5,91.9,4.2
"242",2019,2053,"POINT (-71.4270695 42.15894486)",12752,22.6,19.6,7.2,92.8,4.5
"243",2019,2813,"POINT (-71.67019781 41.39726408)",7831,26.7,21.3,8.7,93,6.4
"244",2019,1026,"POINT (-72.92024618 42.4633281)",946,26.2,22.4,8.2,92.7,6.4
"245",2019,1854,"POINT (-71.347443 42.64738026)",27606,25.4,21,5.5,84.2,5.7
"246",2019,1379,"POINT (-72.4025337 42.55284584)",813,30.8,24.4,7.4,90.8,6.1
"247",2019,2121,"POINT (-71.0857015 42.30789041)",25978,34.2,18.8,4.9,87.7,6.2
"248",2019,2660,"POINT (-70.15438532 41.70552741)",6261,24.6,19.6,11.1,93.8,8.3
"249",2019,3044,"POINT (-71.12519949 42.98866953)",4263,28.2,20.1,6.8,91.7,4.4
"250",2019,2641,"POINT (-70.16619025 41.74972718)",532,23.8,17.6,13.9,96.3,10.4
"251",2019,2836,"POINT (-71.62042869 41.45243181)",136,26.3,22.7,5.2,90.3,3.5
"252",2019,2852,"POINT (-71.49236052 41.57082423)",22551,25.9,21.1,8.3,93,5.8
"253",2019,1258,"POINT (-73.46634656 42.09767547)",374,24,18.6,10.6,95.1,7.3
"254",2019,1431,"POINT (-71.8232119 42.67656012)",3074,25.1,21.6,7.4,92.1,5.3
"255",2019,1527,"POINT (-71.77417184 42.19216669)",13246,30.3,21.2,8,91.5,5.7
"256",2019,2807,"POINT (-71.57861298 41.16509036)",1051,28.7,21.3,9.4,93.7,7.9
"257",2019,2915,"POINT (-71.35012228 41.77796248)",16897,30.3,22.6,8.5,92.4,6.8
"258",2019,2472,"POINT (-71.17728238 42.37001628)",32014,21.7,19.4,7.1,91.7,4.4
"259",2019,1841,"POINT (-71.1622865 42.71697501)",47225,33.2,18.9,4.5,84,6
"260",2019,2725,"POINT (-71.17963449 41.72276468)",2631,28.6,21.6,10.1,92,7.3
"261",2019,2135,"POINT (-71.15381592 42.34988596)",42780,17.6,19.6,4.6,85.4,3.3
"262",2019,1330,"POINT (-72.81389418 42.51386047)",1506,27,21.5,8.5,93.8,5.4
"263",2019,1039,"POINT (-72.69365073 42.40626684)",1336,25.5,22.2,8.1,93.2,5.6
"264",2019,2351,"POINT (-70.95952367 42.11727011)",16029,26,19.9,7,90.7,4.9
"265",2019,1749,"POINT (-71.54647705 42.38867449)",19063,23.9,20.7,7.7,91.9,5.3
"266",2019,2791,"POINT (-71.08470425 41.53016255)",246,25.9,18,12.7,95.4,8.2
"267",2019,2375,"POINT (-71.08168625 42.02033283)",9188,29.1,21.4,7.6,92.2,4.9
"268",2019,3033,"POINT (-71.6705415 42.74642994)",4987,31.2,19.5,6.4,92.7,3.7
"269",2019,2904,"POINT (-71.437504 41.86470814)",29359,31.9,21.7,8.2,91.5,7.2
"270",2019,2482,"POINT (-71.28057175 42.2908271)",10306,20.8,17.6,8.8,94.2,5.4
"271",2019,1364,"POINT (-72.29239071 42.61291443)",7969,30.5,24.4,7.8,89.5,6.7
"272",2019,2671,"POINT (-70.11098976 41.67234743)",1023,23.8,19.2,11.1,93.8,8
"273",2019,1107,"POINT (-72.61165025 42.11905285)",11611,38.6,23.3,4.6,82.2,7.6
"274",2019,2559,"POINT (-70.60029152 41.69514744)",3376,24.1,19.4,10.8,93.6,7.9
